Relatedness,DistractorType,DistractorSentenceVersionA,DistractorSentenceVersionB,DistractorWord,Picture,cosine_lsa
Related,Verb,John noticed the boy was repeatedly sneezing.,Mary noticed that John was repeatedly sneezing.,sneeze,cough,0.52
Unrelated,Noun,He told me about the girl's skillful whistling.,The girl told me about Mary's skillful whistling.,whistle,cough,0.1
Unrelated,Verb,The girl told me that Mary was skillfully whistling.,He told me that the girl was skillfully whistling.,whistle,cough,0.1
Related,Noun,John complained about the woman's loud laughing.,The boy complained about the woman's loud laughing.,laugh,cry,0.5
Related,Verb,The boy complained that the woman is loudly laughing.,John complained that the woman is loudly laughing.,laugh,cry,0.5
Unrelated,Noun,They are amazed by my tireless running.,Mary is amazed by their tireless running.,run,cry,0.26
Unrelated,Verb,Mary is amazed that they are tirelessly running.,They are amazed that I am tirelessly running.,run,cry,0.26
Related,Noun,The girl told me about Mary's skillful juggling.,He told me about the girl's skillful juggling.,juggle,dance,0.37
Related,Verb,He told me that the girl was skillfully juggling.,The girl told me that Mary was skillfully juggling.,juggle,dance,0.37
Unrelated,Noun,The woman complained about the dog's persistent barking.,The boy complained about the dog's persistent barking.,bark,dance,0.15
Unrelated,Verb,The boy complained that the dog is persistently barking.,The woman complained that the dog is persistently barking.,bark,dance,0.15
Related,Noun,The girl is impressed by his skillful swimming.,John is impressed by the girl's skillful swimming.,swim,dive,0.64
Related,Verb,John is impressed that the girl is skillfully swimming.,The girl is impressed that he is skillfully swimming.,swim,dive,0.64
Unrelated,Noun,He is surprised by the baby's sound sleeping.,They are surprised by the baby's sound sleeping.,sleep,dive,0.16
Unrelated,Verb,They are surprised that the baby is soundly sleeping.,He is surprised that the baby is soundly sleeping.,sleep,dive,0.16
Related,Noun,The woman complained about the dog's persistent barking.,The boy complained about the dog's persistent barking.,bark,howl,0.24
Related,Verb,The boy complained that the dog is persistently barking.,The woman complained that the dog is persistently barking.,bark,howl,0.24
Unrelated,Noun,John is impressed by the girl's speedy writing of an essay.,The girl is impressed by his speedy writing of an essay.,write,howl,0.05
Unrelated,Verb,The girl is impressed that he is speedily writing an essay.,John is impressed that the girl is speedily writing an essay.,write,howl,0.05
Related,Noun,The boy is impressed by the woman's beautiful dancing.,John is impressed by the woman's beautiful dancing.,dance,juggle,0.37
Related,Verb,John is impressed that the woman is beautifully dancing.,The boy is impressed that the woman is beautifully dancing.,dance,juggle,0.37
Unrelated,Noun,John told me about the boy's sincere praying. ,Mary told me about John's sincere praying.,pray,juggle,0.03
Unrelated,Verb,Mary told me that John was sincerely praying.,John told me that the boy was sincerely praying. ,pray,juggle,0.03
Related,Noun,I am surprised by his uncontrollable crying.,The woman is surprised by her son's uncontrollable crying.,cry,laugh,0.5
Related,Verb,The woman is surprised that her son is uncontrollably crying.,I am surprised that he is uncontrollablly crying.,cry,laugh,0.5
Unrelated,Noun,He noticed my repeated yawning.,Mary noticed his repeated yawning.,yawn,laugh,0.3
Unrelated,Verb,Mary noticed that he is repeatedly yawning.,He noticed that I am repeatedly yawning.,yawn,laugh,0.3
Related,Noun,She didn't notice the man's desperate begging.,John didn't notice the girl's desperate begging.,beg,pray,0.36
Related,Verb,John didn't notice that the girl was desperately begging.,She didn't notice that the man was desperately begging.,beg,pray,0.36
Unrelated,Noun,The boy complained about the dog's loud howling.,The woman complained about the dog's loud howling.,howl,pray,0.1
Unrelated,Verb,The woman complained that the dog is loudly howling.,The boy complained that the dog is loudly howling.,howl,pray,0.1
Related,Noun,John is impressed by the girl's speedy writing of an essay.,The girl is impressed by his speedy writing of an essay.,write,read,0.47
Related,Verb,The girl is impressed that he is speedily writing an essay.,John is impressed that the girl is speedily writing an essay.,write,read,0.47
Unrelated,Noun,He is amazed by John's courageous diving.,The man is amazed by her courageous diving.,dive,read,0.07
Unrelated,Verb,The man is amazed that she is courageously diving.,He is amazed that John is courageously diving.,dive,read,0.07
Related,Noun,The man was amazed by her elegant walk.,He was amazed by Mary's elegant walk.,walk,run,0.39
Related,Verb,He was amazed that Mary elegantly walks.,The man was amazed that she elegantly walks.,walk,run,0.38
Unrelated,Noun,John is impressed by the girl's skillful singing.,She is impressed by the man's skillful singing.,sing,run,0.13
Unrelated,Verb,She is impressed that the man is skillfully singing.,John is impressed that the girl is skillfully singing.,sing,run,0.13
Related,Noun,He told me about the girl's skillful whistling.,The girl told me about Mary's skillful whistling.,whistle,sing,0.32
Related,Verb,The girl told me that Mary was skillfully whistling.,He told me that the girl was skillfully whistling.,whistle,sing,0.32
Unrelated,Noun,The woman is amazed by her son's careful reading of the textbook.,I am amazed by his careful reading of the textbook.,read,sing,0.12
Unrelated,Verb,I am amazed that he is carefully reading the textbook.,The woman is amazed that her son is carefully reading the textbook.,read,sing,0.12
Related,Noun,He noticed my repeated yawning.,Mary noticed his repeated yawning.,yawn,sleep,0.49
Related,Verb,Mary noticed that he is repeatedly yawning.,He noticed that I am repeatedly yawning.,yawn,sleep,0.49
Unrelated,Noun,Mary complained about their repeated yelling.,They complained about my repeated yelling.,yell,sleep,0.15
Unrelated,Verb,They complained that I am repeatedly yelling.,Mary complained that they were repeatedly yelling.,yell,sleep,0.15
Related,Noun,Mary told the doctor about his persistent coughing.,He told the doctor about my persistent coughing.,cough,sneeze,0.52
Related,Verb,He told the doctor that I am persistently coughing.,Mary told the doctor that he was persistently coughing.,cough,sneeze,0.52
Unrelated,Noun,I am surprised by his uncontrollable crying.,The woman is surprised by her son's uncontrollable crying.,cry,sneeze,0.16
Unrelated,Verb,The woman is surprised that her son is uncontrollably crying.,I am surprised that he is uncontrollablly crying.,cry,sneeze,0.16
Related,Noun,He is amazed by John's courageous diving.,The man is amazed by her courageous diving.,dive,swim,0.64
Related,Verb,The man is amazed that she is courageously diving.,He is amazed that John is courageously diving.,dive,swim,0.64
Unrelated,Noun,They noticed the girl's soft whispering.,He noticed the girl's soft whispering.,whisper,swim,0.1
Unrelated,Verb,He noticed that the girl was softly whispering.,They noticed that the girl is softly whispering.,whisper,swim,0.1
Related,Noun,They are amazed by my tireless running.,Mary is amazed by their tireless running.,run,walk,0.39
Related,Verb,Mary is amazed that they are tirelessly running.,They are amazed that I am tirelessly running.,run,walk,0.39
Unrelated,Noun,The man is surprised by his daughter's efficient cooking. ,The boy is surprised by his father's efficient cooking.,cook,walk,0.14
Unrelated,Verb,The boy is surprised that his father is efficiently cooking.,The man is surprised that his daughter is efficiently cooking. ,cook,walk,0.14
Related,Noun,Mary complained about their repeated yelling.,They complained about my repeated yelling.,yell,whisper,0.39
Related,Verb,They complained that I am repeatedly yelling.,Mary complained that they were repeatedly yelling.,yell,whisper,0.39
Unrelated,Noun,The boy is surprised by his father's efficient baking of cakes.,The man is surprised by his daughter's efficient baking of cakes.,bake,whisper,0.02
Unrelated,Verb,The man is surprised that his daughter is efficiently baking cakes.,The boy is surprised that his father is efficiently baking cakes.,bake,whisper,0.02
Related,Noun,John is impressed by the girl's skillful singing.,She is impressed by the man's skillful singing.,sing,whistle,0.32
Related,Verb,She is impressed that the man is skillfully singing.,John is impressed that the girl is skillfully singing.,sing,whistle,0.32
Unrelated,Noun,Mary told the doctor about his persistent coughing.,He told the doctor about my persistent coughing.,cough,whistle,0.1
Unrelated,Verb,He told the doctor that I am persistently coughing.,Mary told the doctor that he was persistently coughing.,cough,whistle,0.1
Related,Noun,The woman is amazed by her son's careful reading of the textbook.,I am amazed by his careful reading of the textbook.,read,write,0.47
Related,Verb,I am amazed that he is carefully reading the textbook.,The woman is amazed that her son is carefully reading the textbook.,read,write,0.47
Unrelated,Noun,John complained about the woman's loud laughing.,The boy complained about the woman's loud laughing.,laugh,write,0.1
Unrelated,Verb,The boy complained that the woman is loudly laughing.,John complained that the woman is loudly laughing.,laugh,write,0.1
Related,Noun,He is surprised by the baby's sound sleeping.,They are surprised by the baby's sound sleeping.,sleep,yawn,0.49
Related,Verb,They are surprised that the baby is soundly sleeping.,He is surprised that the baby is soundly sleeping.,sleep,yawn,0.49
Unrelated,Noun,The girl is impressed by his skillful swimming.,John is impressed by the girl's skillful swimming.,swim,yawn,0.09
Unrelated,Verb,John is impressed that the girl is skillfully swimming.,The girl is impressed that he is skillfully swimming.,swim,yawn,0.09
Related,Noun,They noticed the girl's soft whispering.,He noticed the girl's soft whispering.,whisper,yell,0.39
Related,Verb,He noticed that the girl was softly whispering.,They noticed that the girl is softly whispering.,whisper,yell,0.39
Unrelated,Noun,The man was amazed by her elegant walk.,He was amazed by Mary's elegant walk.,walk,yell,0.35
Unrelated,Verb,He was amazed that Mary elegantly walks.,The man was amazed that she elegantly walks.,walk,yell,0.35
