Subject,Item,CardType,PrimeType,Response,VerbClass
6,26,Different,Dispreferred,0,Locative
6,27,Different,Dispreferred,0,Dative
6,28,Same,Preferred,1,Transitive
6,29,Same,Preferred,0,Locative
6,30,Different,Preferred,1,Dative
6,33,Same,Dispreferred,0,Dative
6,34,Different,Preferred,1,Transitive
6,35,Different,Preferred,0,Locative
6,36,Same,Preferred,1,Dative
6,37,Same,Dispreferred,0,Transitive
6,38,Different,Dispreferred,1,Locative
6,39,Different,Dispreferred,1,Dative
6,40,Same,Preferred,1,Transitive
6,42,Different,Preferred,0,Dative
6,43,Different,Dispreferred,1,Transitive
6,44,Same,Dispreferred,0,Locative
6,45,Same,Dispreferred,0,Dative
6,46,Different,Preferred,1,Transitive
6,47,Different,Preferred,1,Locative
6,48,Same,Preferred,1,Dative
7,1,Same,Dispreferred,1,Transitive
7,4,Same,Preferred,1,Transitive
7,5,Same,Preferred,0,Locative
7,6,Different,Preferred,0,Dative
7,7,Different,Dispreferred,1,Transitive
7,9,Same,Dispreferred,0,Dative
7,10,Different,Preferred,1,Transitive
7,12,Same,Preferred,0,Dative
7,13,Same,Dispreferred,0,Transitive
7,14,Different,Dispreferred,1,Locative
7,16,Same,Preferred,0,Transitive
7,18,Different,Preferred,1,Dative
7,20,Same,Dispreferred,1,Locative
7,21,Same,Dispreferred,1,Dative
7,22,Different,Preferred,1,Transitive
7,24,Same,Preferred,1,Dative
7,25,Same,Dispreferred,0,Transitive
7,26,Different,Dispreferred,1,Locative
7,27,Different,Dispreferred,0,Dative
7,28,Same,Preferred,1,Transitive
7,29,Same,Preferred,1,Locative
7,30,Different,Preferred,1,Dative
7,31,Different,Dispreferred,0,Transitive
7,33,Same,Dispreferred,0,Dative
7,34,Different,Preferred,1,Transitive
7,35,Different,Preferred,0,Locative
7,37,Same,Dispreferred,0,Transitive
7,39,Different,Dispreferred,1,Dative
7,40,Same,Preferred,0,Transitive
7,41,Same,Preferred,1,Locative
7,42,Different,Preferred,0,Dative
7,43,Different,Dispreferred,0,Transitive
7,45,Same,Dispreferred,0,Dative
7,47,Different,Preferred,1,Locative
8,1,Different,Dispreferred,1,Transitive
8,2,Same,Dispreferred,1,Locative
8,4,Different,Preferred,1,Transitive
8,5,Different,Preferred,1,Locative
8,6,Same,Preferred,0,Dative
8,7,Same,Dispreferred,1,Transitive
8,8,Different,Dispreferred,1,Locative
8,9,Different,Dispreferred,0,Dative
8,10,Same,Preferred,0,Transitive
8,12,Different,Preferred,0,Dative
8,13,Different,Dispreferred,1,Transitive
8,15,Same,Dispreferred,1,Dative
8,16,Different,Preferred,1,Transitive
8,17,Different,Preferred,1,Locative
8,18,Same,Preferred,1,Dative
8,19,Same,Dispreferred,0,Transitive
8,21,Different,Dispreferred,1,Dative
8,22,Same,Preferred,0,Transitive
8,25,Different,Dispreferred,0,Transitive
8,26,Same,Dispreferred,1,Locative
8,27,Same,Dispreferred,1,Dative
8,28,Different,Preferred,0,Transitive
8,29,Different,Preferred,1,Locative
8,30,Same,Preferred,1,Dative
8,32,Different,Dispreferred,0,Locative
8,33,Different,Dispreferred,1,Dative
8,34,Same,Preferred,1,Transitive
8,35,Same,Preferred,1,Locative
8,36,Different,Preferred,1,Dative
8,37,Different,Dispreferred,0,Transitive
8,40,Different,Preferred,0,Transitive
8,41,Different,Preferred,1,Locative
8,42,Same,Preferred,1,Dative
8,43,Same,Dispreferred,0,Transitive
8,44,Different,Dispreferred,0,Locative
8,45,Different,Dispreferred,1,Dative
8,46,Same,Preferred,1,Transitive
8,47,Same,Preferred,1,Locative
8,48,Different,Preferred,1,Dative
9,2,Same,Preferred,1,Locative
9,4,Different,Dispreferred,1,Transitive
9,5,Different,Dispreferred,0,Locative
9,6,Same,Dispreferred,0,Dative
9,7,Same,Preferred,1,Transitive
9,8,Different,Preferred,1,Locative
9,9,Different,Preferred,1,Dative
9,10,Same,Dispreferred,0,Transitive
9,12,Different,Dispreferred,1,Dative
9,13,Different,Preferred,1,Transitive
9,15,Same,Preferred,1,Dative
9,16,Different,Dispreferred,1,Transitive
9,17,Different,Dispreferred,1,Locative
9,18,Same,Dispreferred,1,Dative
9,20,Different,Preferred,0,Locative
9,21,Different,Preferred,0,Dative
9,22,Same,Dispreferred,0,Transitive
9,23,Same,Dispreferred,0,Locative
9,24,Different,Dispreferred,1,Dative
9,25,Different,Preferred,0,Transitive
9,26,Same,Preferred,1,Locative
9,27,Same,Preferred,0,Dative
9,28,Different,Dispreferred,1,Transitive
9,30,Same,Dispreferred,0,Dative
9,32,Different,Preferred,1,Locative
9,33,Different,Preferred,0,Dative
9,34,Same,Dispreferred,1,Transitive
9,35,Same,Dispreferred,0,Locative
9,36,Different,Dispreferred,1,Dative
9,37,Different,Preferred,0,Transitive
9,39,Same,Preferred,1,Dative
9,40,Different,Dispreferred,0,Transitive
9,41,Different,Dispreferred,1,Locative
9,42,Same,Dispreferred,0,Dative
9,43,Same,Preferred,1,Transitive
9,45,Different,Preferred,1,Dative
9,46,Same,Dispreferred,1,Transitive
10,1,Same,Preferred,1,Transitive
10,3,Different,Preferred,1,Dative
10,4,Same,Dispreferred,0,Transitive
10,5,Same,Dispreferred,0,Locative
10,6,Different,Dispreferred,0,Dative
10,7,Different,Preferred,1,Transitive
10,9,Same,Preferred,0,Dative
10,10,Different,Dispreferred,0,Transitive
10,12,Same,Dispreferred,0,Dative
10,13,Same,Preferred,1,Transitive
10,15,Different,Preferred,1,Dative
10,16,Same,Dispreferred,0,Transitive
10,17,Same,Dispreferred,0,Locative
10,18,Different,Dispreferred,1,Dative
10,19,Different,Preferred,1,Transitive
10,21,Same,Preferred,1,Dative
10,22,Different,Dispreferred,0,Transitive
10,26,Different,Preferred,1,Locative
10,27,Different,Preferred,1,Dative
10,28,Same,Dispreferred,1,Transitive
10,29,Same,Dispreferred,1,Locative
10,30,Different,Dispreferred,1,Dative
10,32,Same,Preferred,1,Locative
10,33,Same,Preferred,1,Dative
10,34,Different,Dispreferred,1,Transitive
10,35,Different,Dispreferred,0,Locative
10,36,Same,Dispreferred,1,Dative
10,37,Same,Preferred,0,Transitive
10,40,Same,Dispreferred,0,Transitive
10,42,Different,Dispreferred,0,Dative
10,43,Different,Preferred,1,Transitive
10,44,Same,Preferred,1,Locative
10,45,Same,Preferred,0,Dative
10,46,Different,Dispreferred,1,Transitive
11,1,Same,Preferred,1,Transitive
11,2,Different,Preferred,1,Locative
11,3,Different,Preferred,1,Dative
11,4,Same,Dispreferred,1,Transitive
11,5,Same,Dispreferred,0,Locative
11,6,Different,Dispreferred,0,Dative
11,7,Different,Preferred,1,Transitive
11,8,Same,Preferred,1,Locative
11,9,Same,Preferred,0,Dative
11,10,Different,Dispreferred,0,Transitive
11,11,Different,Dispreferred,1,Locative
11,12,Same,Dispreferred,1,Dative
11,13,Same,Preferred,0,Transitive
11,14,Different,Preferred,1,Locative
11,15,Different,Preferred,1,Dative
11,16,Same,Dispreferred,0,Transitive
11,17,Same,Dispreferred,1,Locative
11,18,Different,Dispreferred,1,Dative
11,19,Different,Preferred,1,Transitive
11,20,Same,Preferred,1,Locative
11,21,Same,Preferred,1,Dative
11,22,Different,Dispreferred,1,Transitive
11,24,Same,Dispreferred,1,Dative
11,25,Same,Preferred,1,Transitive
11,26,Different,Preferred,1,Locative
11,27,Different,Preferred,0,Dative
11,28,Same,Dispreferred,0,Transitive
11,29,Same,Dispreferred,1,Locative
11,30,Different,Dispreferred,0,Dative
11,31,Different,Preferred,1,Transitive
11,33,Same,Preferred,0,Dative
11,34,Different,Dispreferred,1,Transitive
11,35,Different,Dispreferred,0,Locative
11,36,Same,Dispreferred,0,Dative
11,37,Same,Preferred,1,Transitive
11,39,Different,Preferred,1,Dative
11,40,Same,Dispreferred,0,Transitive
11,41,Same,Dispreferred,1,Locative
11,42,Different,Dispreferred,0,Dative
11,43,Different,Preferred,1,Transitive
11,44,Same,Preferred,1,Locative
11,45,Same,Preferred,1,Dative
11,46,Different,Dispreferred,1,Transitive
11,48,Same,Dispreferred,1,Dative
12,3,Same,Preferred,1,Dative
12,4,Different,Dispreferred,1,Transitive
12,5,Different,Dispreferred,0,Locative
12,6,Same,Dispreferred,0,Dative
12,7,Same,Preferred,1,Transitive
12,9,Different,Preferred,0,Dative
12,10,Same,Dispreferred,1,Transitive
12,12,Different,Dispreferred,0,Dative
12,13,Different,Preferred,1,Transitive
12,15,Same,Preferred,1,Dative
12,17,Different,Dispreferred,1,Locative
12,18,Same,Dispreferred,0,Dative
12,19,Same,Preferred,1,Transitive
12,21,Different,Preferred,0,Dative
12,22,Same,Dispreferred,1,Transitive
12,25,Different,Preferred,1,Transitive
12,26,Same,Preferred,1,Locative
12,27,Same,Preferred,0,Dative
12,28,Different,Dispreferred,0,Transitive
12,29,Different,Dispreferred,1,Locative
12,30,Same,Dispreferred,1,Dative
12,31,Same,Preferred,0,Transitive
12,32,Different,Preferred,1,Locative
12,33,Different,Preferred,0,Dative
12,34,Same,Dispreferred,1,Transitive
12,35,Same,Dispreferred,0,Locative
12,36,Different,Dispreferred,1,Dative
12,37,Different,Preferred,1,Transitive
12,38,Same,Preferred,1,Locative
12,39,Same,Preferred,1,Dative
12,40,Different,Dispreferred,0,Transitive
12,42,Same,Dispreferred,0,Dative
12,43,Same,Preferred,1,Transitive
12,44,Different,Preferred,0,Locative
12,45,Different,Preferred,1,Dative
12,46,Same,Dispreferred,1,Transitive
12,47,Same,Dispreferred,1,Locative
12,48,Different,Dispreferred,1,Dative
13,1,Different,Dispreferred,1,Transitive
13,3,Same,Dispreferred,1,Dative
13,4,Different,Preferred,1,Transitive
13,5,Different,Preferred,1,Locative
13,6,Same,Preferred,0,Dative
13,7,Same,Dispreferred,1,Transitive
13,9,Different,Dispreferred,0,Dative
13,10,Same,Preferred,1,Transitive
13,12,Different,Preferred,0,Dative
13,13,Different,Dispreferred,1,Transitive
13,14,Same,Dispreferred,0,Locative
13,15,Same,Dispreferred,0,Dative
13,18,Same,Preferred,1,Dative
13,21,Different,Dispreferred,0,Dative
13,22,Same,Preferred,1,Transitive
13,25,Different,Dispreferred,1,Transitive
13,26,Same,Dispreferred,1,Locative
13,27,Same,Dispreferred,0,Dative
13,28,Different,Preferred,1,Transitive
13,30,Same,Preferred,1,Dative
13,31,Same,Dispreferred,1,Transitive
13,33,Different,Dispreferred,0,Dative
13,34,Same,Preferred,0,Transitive
13,36,Different,Preferred,1,Dative
13,37,Different,Dispreferred,1,Transitive
13,40,Different,Preferred,1,Transitive
13,41,Different,Preferred,1,Locative
13,42,Same,Preferred,0,Dative
13,43,Same,Dispreferred,1,Transitive
13,45,Different,Dispreferred,1,Dative
13,46,Same,Preferred,1,Transitive
14,1,Same,Dispreferred,1,Transitive
14,3,Different,Dispreferred,1,Dative
14,4,Same,Preferred,1,Transitive
14,6,Different,Preferred,1,Dative
14,7,Different,Dispreferred,1,Transitive
14,10,Different,Preferred,1,Transitive
14,12,Same,Preferred,1,Dative
14,13,Same,Dispreferred,1,Transitive
14,15,Different,Dispreferred,1,Dative
14,18,Different,Preferred,1,Dative
14,21,Same,Dispreferred,1,Dative
14,22,Different,Preferred,1,Transitive
14,25,Same,Dispreferred,0,Transitive
14,26,Different,Dispreferred,1,Locative
14,27,Different,Dispreferred,1,Dative
14,28,Same,Preferred,1,Transitive
14,29,Same,Preferred,1,Locative
14,30,Different,Preferred,1,Dative
14,31,Different,Dispreferred,0,Transitive
14,33,Same,Dispreferred,1,Dative
14,34,Different,Preferred,1,Transitive
14,35,Different,Preferred,1,Locative
14,36,Same,Preferred,1,Dative
14,37,Same,Dispreferred,0,Transitive
14,40,Same,Preferred,0,Transitive
14,41,Same,Preferred,1,Locative
14,42,Different,Preferred,0,Dative
14,43,Different,Dispreferred,1,Transitive
14,45,Same,Dispreferred,1,Dative
14,46,Different,Preferred,1,Transitive
15,1,Same,Dispreferred,1,Transitive
15,2,Different,Dispreferred,1,Locative
15,3,Different,Dispreferred,1,Dative
15,4,Same,Preferred,1,Transitive
15,6,Different,Preferred,1,Dative
15,7,Different,Dispreferred,1,Transitive
15,8,Same,Dispreferred,1,Locative
15,9,Same,Dispreferred,1,Dative
15,10,Different,Preferred,1,Transitive
15,12,Same,Preferred,1,Dative
15,13,Same,Dispreferred,1,Transitive
15,14,Different,Dispreferred,1,Locative
15,15,Different,Dispreferred,1,Dative
15,16,Same,Preferred,0,Transitive
15,17,Same,Preferred,1,Locative
15,18,Different,Preferred,1,Dative
15,19,Different,Dispreferred,0,Transitive
15,20,Same,Dispreferred,0,Locative
15,21,Same,Dispreferred,1,Dative
15,22,Different,Preferred,1,Transitive
15,23,Different,Preferred,1,Locative
15,25,Same,Dispreferred,0,Transitive
15,26,Different,Dispreferred,1,Locative
15,27,Different,Dispreferred,0,Dative
15,28,Same,Preferred,0,Transitive
15,29,Same,Preferred,1,Locative
15,30,Different,Preferred,1,Dative
15,32,Same,Dispreferred,1,Locative
15,33,Same,Dispreferred,0,Dative
15,34,Different,Preferred,0,Transitive
15,36,Same,Preferred,1,Dative
15,37,Same,Dispreferred,0,Transitive
15,38,Different,Dispreferred,1,Locative
15,39,Different,Dispreferred,1,Dative
15,40,Same,Preferred,0,Transitive
15,42,Different,Preferred,0,Dative
15,43,Different,Dispreferred,1,Transitive
15,44,Same,Dispreferred,0,Locative
15,45,Same,Dispreferred,1,Dative
15,46,Different,Preferred,1,Transitive
15,48,Same,Preferred,1,Dative
16,1,Different,Dispreferred,1,Transitive
16,4,Different,Preferred,1,Transitive
16,5,Different,Preferred,0,Locative
16,6,Same,Preferred,0,Dative
16,7,Same,Dispreferred,1,Transitive
16,9,Different,Dispreferred,0,Dative
16,10,Same,Preferred,1,Transitive
16,12,Different,Preferred,0,Dative
16,13,Different,Dispreferred,0,Transitive
16,14,Same,Dispreferred,0,Locative
16,16,Different,Preferred,0,Transitive
16,18,Same,Preferred,1,Dative
16,20,Different,Dispreferred,1,Locative
16,22,Same,Preferred,1,Transitive
16,25,Different,Dispreferred,0,Transitive
16,26,Same,Dispreferred,1,Locative
16,30,Same,Preferred,1,Dative
16,31,Same,Dispreferred,0,Transitive
16,32,Different,Dispreferred,1,Locative
16,34,Same,Preferred,1,Transitive
16,35,Same,Preferred,1,Locative
16,37,Different,Dispreferred,0,Transitive
16,39,Same,Dispreferred,1,Dative
16,40,Different,Preferred,0,Transitive
16,41,Different,Preferred,1,Locative
16,42,Same,Preferred,0,Dative
16,43,Same,Dispreferred,0,Transitive
16,45,Different,Dispreferred,0,Dative
16,46,Same,Preferred,1,Transitive
16,48,Different,Preferred,1,Dative
17,3,Same,Preferred,1,Dative
17,4,Different,Dispreferred,1,Transitive
17,5,Different,Dispreferred,0,Locative
17,6,Same,Dispreferred,0,Dative
17,7,Same,Preferred,1,Transitive
17,8,Different,Preferred,1,Locative
17,9,Different,Preferred,0,Dative
17,10,Same,Dispreferred,1,Transitive
17,12,Different,Dispreferred,0,Dative
17,13,Different,Preferred,1,Transitive
17,15,Same,Preferred,1,Dative
17,16,Different,Dispreferred,1,Transitive
17,20,Different,Preferred,1,Locative
17,21,Different,Preferred,1,Dative
17,22,Same,Dispreferred,1,Transitive
17,23,Same,Dispreferred,1,Locative
17,25,Different,Preferred,1,Transitive
17,26,Same,Preferred,1,Locative
17,27,Same,Preferred,1,Dative
17,28,Different,Dispreferred,1,Transitive
17,29,Different,Dispreferred,1,Locative
17,30,Same,Dispreferred,1,Dative
17,34,Same,Dispreferred,1,Transitive
17,35,Same,Dispreferred,1,Locative
17,36,Different,Dispreferred,1,Dative
17,37,Different,Preferred,0,Transitive
17,38,Same,Preferred,1,Locative
17,39,Same,Preferred,1,Dative
17,40,Different,Dispreferred,0,Transitive
17,42,Same,Dispreferred,1,Dative
17,43,Same,Preferred,1,Transitive
17,46,Same,Dispreferred,1,Transitive
17,47,Same,Dispreferred,1,Locative
17,48,Different,Dispreferred,1,Dative
18,1,Same,Preferred,1,Transitive
18,5,Same,Dispreferred,0,Locative
18,6,Different,Dispreferred,0,Dative
18,7,Different,Preferred,1,Transitive
18,9,Same,Preferred,0,Dative
18,10,Different,Dispreferred,1,Transitive
18,12,Same,Dispreferred,0,Dative
18,13,Same,Preferred,0,Transitive
18,15,Different,Preferred,1,Dative
18,16,Same,Dispreferred,0,Transitive
18,18,Different,Dispreferred,0,Dative
18,19,Different,Preferred,1,Transitive
18,20,Same,Preferred,0,Locative
18,21,Same,Preferred,0,Dative
18,22,Different,Dispreferred,1,Transitive
18,23,Different,Dispreferred,1,Locative
18,24,Same,Dispreferred,1,Dative
18,25,Same,Preferred,1,Transitive
18,27,Different,Preferred,0,Dative
18,28,Same,Dispreferred,0,Transitive
18,29,Same,Dispreferred,1,Locative
18,30,Different,Dispreferred,0,Dative
18,31,Different,Preferred,1,Transitive
18,33,Same,Preferred,0,Dative
18,34,Different,Dispreferred,0,Transitive
18,35,Different,Dispreferred,1,Locative
18,36,Same,Dispreferred,1,Dative
18,37,Same,Preferred,1,Transitive
18,39,Different,Preferred,1,Dative
18,40,Same,Dispreferred,0,Transitive
18,41,Same,Dispreferred,1,Locative
18,42,Different,Dispreferred,1,Dative
18,43,Different,Preferred,1,Transitive
18,44,Same,Preferred,1,Locative
18,46,Different,Dispreferred,1,Transitive
18,48,Same,Dispreferred,1,Dative
19,1,Same,Preferred,1,Transitive
19,4,Same,Dispreferred,1,Transitive
19,5,Same,Dispreferred,1,Locative
19,6,Different,Dispreferred,1,Dative
19,7,Different,Preferred,1,Transitive
19,8,Same,Preferred,1,Locative
19,9,Same,Preferred,1,Dative
19,10,Different,Dispreferred,1,Transitive
19,12,Same,Dispreferred,1,Dative
19,13,Same,Preferred,1,Transitive
19,15,Different,Preferred,1,Dative
19,16,Same,Dispreferred,1,Transitive
19,18,Different,Dispreferred,0,Dative
19,20,Same,Preferred,0,Locative
19,21,Same,Preferred,0,Dative
19,22,Different,Dispreferred,1,Transitive
19,24,Same,Dispreferred,0,Dative
19,25,Same,Preferred,0,Transitive
19,27,Different,Preferred,0,Dative
19,28,Same,Dispreferred,1,Transitive
19,29,Same,Dispreferred,1,Locative
19,30,Different,Dispreferred,1,Dative
19,33,Same,Preferred,0,Dative
19,34,Different,Dispreferred,1,Transitive
19,35,Different,Dispreferred,1,Locative
19,36,Same,Dispreferred,1,Dative
19,37,Same,Preferred,0,Transitive
19,39,Different,Preferred,1,Dative
19,40,Same,Dispreferred,0,Transitive
19,42,Different,Dispreferred,0,Dative
19,43,Different,Preferred,1,Transitive
19,45,Same,Preferred,0,Dative
19,46,Different,Dispreferred,1,Transitive
20,1,Different,Preferred,1,Transitive
20,2,Same,Preferred,1,Locative
20,5,Different,Dispreferred,1,Locative
20,7,Same,Preferred,1,Transitive
20,8,Different,Preferred,1,Locative
20,10,Same,Dispreferred,1,Transitive
20,12,Different,Dispreferred,0,Dative
20,13,Different,Preferred,0,Transitive
20,14,Same,Preferred,1,Locative
20,15,Same,Preferred,1,Dative
20,16,Different,Dispreferred,0,Transitive
20,17,Different,Dispreferred,1,Locative
20,18,Same,Dispreferred,1,Dative
20,19,Same,Preferred,1,Transitive
20,20,Different,Preferred,1,Locative
20,21,Different,Preferred,1,Dative
20,22,Same,Dispreferred,0,Transitive
20,23,Same,Dispreferred,1,Locative
20,25,Different,Preferred,1,Transitive
20,27,Same,Preferred,0,Dative
20,28,Different,Dispreferred,0,Transitive
20,29,Different,Dispreferred,1,Locative
20,30,Same,Dispreferred,1,Dative
20,33,Different,Preferred,1,Dative
20,34,Same,Dispreferred,1,Transitive
20,35,Same,Dispreferred,1,Locative
20,37,Different,Preferred,0,Transitive
20,39,Same,Preferred,1,Dative
20,40,Different,Dispreferred,0,Transitive
20,42,Same,Dispreferred,0,Dative
20,43,Same,Preferred,1,Transitive
20,45,Different,Preferred,0,Dative
20,46,Same,Dispreferred,1,Transitive
20,48,Different,Dispreferred,1,Dative
21,4,Different,Preferred,1,Transitive
21,7,Same,Dispreferred,1,Transitive
