"Subject" "List" "CardSet" "Homogeneity" "PrimeType" "TargBinary" "Item"
"110" 3 3 "C" "homogenous" "dispreferred" 0 17
"113" 3 3 "C" "homogenous" "preferred" 0 28
"114" 3 3 "C" "heterogenous" "dispreferred" 1 30
"115" 3 3 "D" "heterogenous" "dispreferred" 1 22
"117" 3 3 "D" "homogenous" "preferred" 0 6
"119" 3 3 "D" "heterogenous" "preferred" 1 24
"120" 3 3 "D" "homogenous" "dispreferred" 0 3
"122" 3 3 "E" "heterogenous" "dispreferred" 0 1
"123" 3 3 "E" "homogenous" "dispreferred" 0 15
"125" 3 3 "E" "homogenous" "preferred" 1 5
"126" 3 3 "E" "heterogenous" "preferred" 0 21
"127" 3 3 "F" "homogenous" "dispreferred" 1 9
"128" 3 3 "F" "heterogenous" "preferred" 0 14
"130" 3 3 "F" "heterogenous" "dispreferred" 1 19
"132" 3 3 "F" "homogenous" "preferred" 1 8
"134" 3 3 "G" "homogenous" "preferred" 0 31
"135" 3 3 "G" "homogenous" "dispreferred" 1 10
"137" 3 3 "G" "heterogenous" "preferred" 1 25
"138" 3 3 "G" "heterogenous" "dispreferred" 1 16
"139" 3 3 "H" "heterogenous" "dispreferred" 0 18
"142" 3 3 "H" "heterogenous" "preferred" 0 2
"143" 3 3 "H" "homogenous" "dispreferred" 0 4
"144" 3 3 "H" "homogenous" "preferred" 0 23
"145" 4 4 "A" "homogenous" "dispreferred" 1 27
"146" 4 4 "A" "heterogenous" "preferred" 1 9
"148" 4 4 "A" "heterogenous" "dispreferred" 1 11
"150" 4 4 "A" "homogenous" "preferred" 1 22
"151" 4 4 "B" "heterogenous" "dispreferred" 0 13
"152" 4 4 "B" "heterogenous" "preferred" 1 28
"153" 4 4 "B" "homogenous" "dispreferred" 1 21
"154" 4 4 "B" "homogenous" "preferred" 1 29
"157" 4 4 "C" "heterogenous" "dispreferred" 0 4
"158" 4 4 "C" "homogenous" "preferred" 1 18
"161" 4 4 "C" "homogenous" "dispreferred" 0 26
"162" 4 4 "C" "heterogenous" "preferred" 0 3
"163" 4 4 "D" "heterogenous" "preferred" 1 20
"165" 4 4 "D" "homogenous" "dispreferred" 0 16
"167" 4 4 "D" "heterogenous" "dispreferred" 1 5
"168" 4 4 "D" "homogenous" "preferred" 0 30
"170" 4 4 "E" "heterogenous" "preferred" 0 8
"171" 4 4 "E" "homogenous" "preferred" 0 19
"173" 4 4 "E" "homogenous" "dispreferred" 0 24
"174" 4 4 "E" "heterogenous" "dispreferred" 0 12
"175" 4 4 "F" "homogenous" "preferred" 1 7
"176" 4 4 "F" "heterogenous" "dispreferred" 0 10
"178" 4 4 "F" "heterogenous" "preferred" 0 15
"180" 4 4 "F" "homogenous" "dispreferred" 0 1
"182" 4 4 "G" "homogenous" "dispreferred" 0 2
"183" 4 4 "G" "homogenous" "preferred" 0 14
"185" 4 4 "G" "heterogenous" "dispreferred" 0 23
"186" 4 4 "G" "heterogenous" "preferred" 1 6
"187" 4 4 "H" "heterogenous" "preferred" 0 17
"190" 4 4 "H" "heterogenous" "dispreferred" 0 31
"191" 4 4 "H" "homogenous" "preferred" 0 32
"192" 4 4 "H" "homogenous" "dispreferred" 0 25
"193" 5 1 "A" "homogenous" "preferred" 1 20
"194" 5 1 "A" "heterogenous" "preferred" 1 7
"196" 5 1 "A" "heterogenous" "dispreferred" 0 29
"198" 5 1 "A" "homogenous" "dispreferred" 0 13
"199" 5 1 "B" "heterogenous" "dispreferred" 1 27
"200" 5 1 "B" "heterogenous" "preferred" 1 26
"201" 5 1 "B" "homogenous" "dispreferred" 0 12
"202" 5 1 "B" "homogenous" "preferred" 0 11
"205" 5 1 "C" "heterogenous" "dispreferred" 0 32
"206" 5 1 "C" "homogenous" "preferred" 1 17
"209" 5 1 "C" "homogenous" "dispreferred" 0 28
"210" 5 1 "C" "heterogenous" "preferred" 1 30
"211" 5 1 "D" "heterogenous" "preferred" 1 22
"213" 5 1 "D" "homogenous" "dispreferred" 0 6
"215" 5 1 "D" "heterogenous" "dispreferred" 0 24
"216" 5 1 "D" "homogenous" "preferred" 1 3
"218" 5 1 "E" "heterogenous" "preferred" 0 1
"219" 5 1 "E" "homogenous" "preferred" 1 15
"221" 5 1 "E" "homogenous" "dispreferred" 1 5
"222" 5 1 "E" "heterogenous" "dispreferred" 0 21
"223" 5 1 "F" "homogenous" "preferred" 1 9
"224" 5 1 "F" "heterogenous" "dispreferred" 0 14
"226" 5 1 "F" "heterogenous" "preferred" 1 19
"228" 5 1 "F" "homogenous" "dispreferred" 0 8
"230" 5 1 "G" "homogenous" "dispreferred" 0 31
"231" 5 1 "G" "homogenous" "preferred" 1 10
"233" 5 1 "G" "heterogenous" "dispreferred" 0 25
"234" 5 1 "G" "heterogenous" "preferred" 1 16
"235" 5 1 "H" "heterogenous" "preferred" 0 18
"238" 5 1 "H" "heterogenous" "dispreferred" 0 2
"239" 5 1 "H" "homogenous" "preferred" 1 4
"240" 5 1 "H" "homogenous" "dispreferred" 1 23
"241" 6 2 "A" "homogenous" "preferred" 0 27
"242" 6 2 "A" "heterogenous" "dispreferred" 0 9
"244" 6 2 "A" "heterogenous" "preferred" 0 11
"246" 6 2 "A" "homogenous" "dispreferred" 0 22
"247" 6 2 "B" "heterogenous" "preferred" 0 13
"248" 6 2 "B" "heterogenous" "dispreferred" 0 28
"249" 6 2 "B" "homogenous" "preferred" 1 21
"250" 6 2 "B" "homogenous" "dispreferred" 0 29
"253" 6 2 "C" "heterogenous" "preferred" 1 4
"254" 6 2 "C" "homogenous" "dispreferred" 0 18
"257" 6 2 "C" "homogenous" "preferred" 0 26
"258" 6 2 "C" "heterogenous" "dispreferred" 0 3
"259" 6 2 "D" "heterogenous" "dispreferred" 0 20
"261" 6 2 "D" "homogenous" "preferred" 1 16
"263" 6 2 "D" "heterogenous" "preferred" 1 5
"264" 6 2 "D" "homogenous" "dispreferred" 1 30
"266" 6 2 "E" "heterogenous" "dispreferred" 0 8
"267" 6 2 "E" "homogenous" "dispreferred" 0 19
"269" 6 2 "E" "homogenous" "preferred" 0 24
"270" 6 2 "E" "heterogenous" "preferred" 1 12
"271" 6 2 "F" "homogenous" "dispreferred" 0 7
"272" 6 2 "F" "heterogenous" "preferred" 0 10
"274" 6 2 "F" "heterogenous" "dispreferred" 0 15
"276" 6 2 "F" "homogenous" "preferred" 0 1
"278" 6 2 "G" "homogenous" "preferred" 0 2
"279" 6 2 "G" "homogenous" "dispreferred" 0 14
"281" 6 2 "G" "heterogenous" "preferred" 1 23
"282" 6 2 "G" "heterogenous" "dispreferred" 1 6
"283" 6 2 "H" "heterogenous" "dispreferred" 0 17
"286" 6 2 "H" "heterogenous" "preferred" 1 31
"287" 6 2 "H" "homogenous" "dispreferred" 0 32
"288" 6 2 "H" "homogenous" "preferred" 1 25
"289" 7 3 "A" "homogenous" "dispreferred" 0 20
"290" 7 3 "A" "heterogenous" "dispreferred" 0 7
"292" 7 3 "A" "heterogenous" "preferred" 1 29
"294" 7 3 "A" "homogenous" "preferred" 0 13
"295" 7 3 "B" "heterogenous" "preferred" 1 27
"296" 7 3 "B" "heterogenous" "dispreferred" 0 26
"297" 7 3 "B" "homogenous" "preferred" 1 12
"298" 7 3 "B" "homogenous" "dispreferred" 1 11
"301" 7 3 "C" "heterogenous" "preferred" 1 32
"302" 7 3 "C" "homogenous" "dispreferred" 0 17
"305" 7 3 "C" "homogenous" "preferred" 0 28
"306" 7 3 "C" "heterogenous" "dispreferred" 0 30
"307" 7 3 "D" "heterogenous" "dispreferred" 1 22
"309" 7 3 "D" "homogenous" "preferred" 0 6
"311" 7 3 "D" "heterogenous" "preferred" 1 24
"312" 7 3 "D" "homogenous" "dispreferred" 1 3
"314" 7 3 "E" "heterogenous" "dispreferred" 0 1
"315" 7 3 "E" "homogenous" "dispreferred" 1 15
"317" 7 3 "E" "homogenous" "preferred" 1 5
"318" 7 3 "E" "heterogenous" "preferred" 1 21
"319" 7 3 "F" "homogenous" "dispreferred" 1 9
"320" 7 3 "F" "heterogenous" "preferred" 0 14
"322" 7 3 "F" "heterogenous" "dispreferred" 1 19
"324" 7 3 "F" "homogenous" "preferred" 0 8
"326" 7 3 "G" "homogenous" "preferred" 0 31
"327" 7 3 "G" "homogenous" "dispreferred" 0 10
"329" 7 3 "G" "heterogenous" "preferred" 1 25
"330" 7 3 "G" "heterogenous" "dispreferred" 1 16
"331" 7 3 "H" "heterogenous" "dispreferred" 0 18
"334" 7 3 "H" "heterogenous" "preferred" 0 2
"335" 7 3 "H" "homogenous" "dispreferred" 1 4
"336" 7 3 "H" "homogenous" "preferred" 1 23
"337" 8 4 "A" "homogenous" "dispreferred" 1 27
"338" 8 4 "A" "heterogenous" "preferred" 1 9
"340" 8 4 "A" "heterogenous" "dispreferred" 0 11
"342" 8 4 "A" "homogenous" "preferred" 1 22
"343" 8 4 "B" "heterogenous" "dispreferred" 0 13
"344" 8 4 "B" "heterogenous" "preferred" 0 28
"345" 8 4 "B" "homogenous" "dispreferred" 1 21
"346" 8 4 "B" "homogenous" "preferred" 0 29
"349" 8 4 "C" "heterogenous" "dispreferred" 1 4
"350" 8 4 "C" "homogenous" "preferred" 0 18
"353" 8 4 "C" "homogenous" "dispreferred" 0 26
"354" 8 4 "C" "heterogenous" "preferred" 1 3
"355" 8 4 "D" "heterogenous" "preferred" 0 20
"357" 8 4 "D" "homogenous" "dispreferred" 1 16
"359" 8 4 "D" "heterogenous" "dispreferred" 0 5
"360" 8 4 "D" "homogenous" "preferred" 1 30
"362" 8 4 "E" "heterogenous" "preferred" 1 8
"363" 8 4 "E" "homogenous" "preferred" 1 19
"365" 8 4 "E" "homogenous" "dispreferred" 0 24
"366" 8 4 "E" "heterogenous" "dispreferred" 0 12
"367" 8 4 "F" "homogenous" "preferred" 1 7
"368" 8 4 "F" "heterogenous" "dispreferred" 0 10
"370" 8 4 "F" "heterogenous" "preferred" 1 15
"372" 8 4 "F" "homogenous" "dispreferred" 0 1
"374" 8 4 "G" "homogenous" "dispreferred" 0 2
"375" 8 4 "G" "homogenous" "preferred" 0 14
"377" 8 4 "G" "heterogenous" "dispreferred" 1 23
"378" 8 4 "G" "heterogenous" "preferred" 1 6
"379" 8 4 "H" "heterogenous" "preferred" 0 17
"382" 8 4 "H" "heterogenous" "dispreferred" 0 31
"383" 8 4 "H" "homogenous" "preferred" 1 32
"384" 8 4 "H" "homogenous" "dispreferred" 0 25
"385" 9 1 "A" "homogenous" "preferred" 1 20
"386" 9 1 "A" "heterogenous" "preferred" 1 7
"388" 9 1 "A" "heterogenous" "dispreferred" 1 29
"390" 9 1 "A" "homogenous" "dispreferred" 0 13
"391" 9 1 "B" "heterogenous" "dispreferred" 0 27
"392" 9 1 "B" "heterogenous" "preferred" 0 26
"393" 9 1 "B" "homogenous" "dispreferred" 0 12
"394" 9 1 "B" "homogenous" "preferred" 1 11
"397" 9 1 "C" "heterogenous" "dispreferred" 0 32
"398" 9 1 "C" "homogenous" "preferred" 0 17
"401" 9 1 "C" "homogenous" "dispreferred" 0 28
"402" 9 1 "C" "heterogenous" "preferred" 0 30
"403" 9 1 "D" "heterogenous" "preferred" 1 22
"405" 9 1 "D" "homogenous" "dispreferred" 0 6
"407" 9 1 "D" "heterogenous" "dispreferred" 0 24
"408" 9 1 "D" "homogenous" "preferred" 1 3
"410" 9 1 "E" "heterogenous" "preferred" 0 1
"411" 9 1 "E" "homogenous" "preferred" 1 15
"413" 9 1 "E" "homogenous" "dispreferred" 1 5
"414" 9 1 "E" "heterogenous" "dispreferred" 1 21
"415" 9 1 "F" "homogenous" "preferred" 1 9
"416" 9 1 "F" "heterogenous" "dispreferred" 0 14
"418" 9 1 "F" "heterogenous" "preferred" 1 19
"420" 9 1 "F" "homogenous" "dispreferred" 1 8
"422" 9 1 "G" "homogenous" "dispreferred" 0 31
"423" 9 1 "G" "homogenous" "preferred" 0 10
"425" 9 1 "G" "heterogenous" "dispreferred" 1 25
"426" 9 1 "G" "heterogenous" "preferred" 1 16
"427" 9 1 "H" "heterogenous" "preferred" 0 18
"430" 9 1 "H" "heterogenous" "dispreferred" 0 2
"431" 9 1 "H" "homogenous" "preferred" 1 4
"432" 9 1 "H" "homogenous" "dispreferred" 1 23
"433" 10 2 "A" "homogenous" "preferred" 1 27
"434" 10 2 "A" "heterogenous" "dispreferred" 0 9
"436" 10 2 "A" "heterogenous" "preferred" 0 11
"438" 10 2 "A" "homogenous" "dispreferred" 1 22
"439" 10 2 "B" "heterogenous" "preferred" 1 13
"440" 10 2 "B" "heterogenous" "dispreferred" 1 28
"441" 10 2 "B" "homogenous" "preferred" 0 21
"442" 10 2 "B" "homogenous" "dispreferred" 0 29
"445" 10 2 "C" "heterogenous" "preferred" 1 4
"446" 10 2 "C" "homogenous" "dispreferred" 1 18
"449" 10 2 "C" "homogenous" "preferred" 1 26
"450" 10 2 "C" "heterogenous" "dispreferred" 0 3
"451" 10 2 "D" "heterogenous" "dispreferred" 1 20
"453" 10 2 "D" "homogenous" "preferred" 1 16
"455" 10 2 "D" "heterogenous" "preferred" 1 5
"456" 10 2 "D" "homogenous" "dispreferred" 1 30
"458" 10 2 "E" "heterogenous" "dispreferred" 0 8
"459" 10 2 "E" "homogenous" "dispreferred" 1 19
"461" 10 2 "E" "homogenous" "preferred" 1 24
"462" 10 2 "E" "heterogenous" "preferred" 1 12
"463" 10 2 "F" "homogenous" "dispreferred" 0 7
"464" 10 2 "F" "heterogenous" "preferred" 0 10
"466" 10 2 "F" "heterogenous" "dispreferred" 1 15
"468" 10 2 "F" "homogenous" "preferred" 0 1
"470" 10 2 "G" "homogenous" "preferred" 1 2
"471" 10 2 "G" "homogenous" "dispreferred" 1 14
"473" 10 2 "G" "heterogenous" "preferred" 1 23
"474" 10 2 "G" "heterogenous" "dispreferred" 1 6
"475" 10 2 "H" "heterogenous" "dispreferred" 0 17
"478" 10 2 "H" "heterogenous" "preferred" 1 31
"479" 10 2 "H" "homogenous" "dispreferred" 1 32
"480" 10 2 "H" "homogenous" "preferred" 1 25
"481" 11 3 "A" "homogenous" "dispreferred" 1 20
"482" 11 3 "A" "heterogenous" "dispreferred" 0 7
"484" 11 3 "A" "heterogenous" "preferred" 1 29
"486" 11 3 "A" "homogenous" "preferred" 1 13
"487" 11 3 "B" "heterogenous" "preferred" 1 27
"488" 11 3 "B" "heterogenous" "dispreferred" 0 26
"489" 11 3 "B" "homogenous" "preferred" 1 12
"490" 11 3 "B" "homogenous" "dispreferred" 0 11
"493" 11 3 "C" "heterogenous" "preferred" 1 32
"494" 11 3 "C" "homogenous" "dispreferred" 0 17
"497" 11 3 "C" "homogenous" "preferred" 0 28
"498" 11 3 "C" "heterogenous" "dispreferred" 0 30
"499" 11 3 "D" "heterogenous" "dispreferred" 0 22
"501" 11 3 "D" "homogenous" "preferred" 0 6
"503" 11 3 "D" "heterogenous" "preferred" 1 24
"504" 11 3 "D" "homogenous" "dispreferred" 0 3
"506" 11 3 "E" "heterogenous" "dispreferred" 0 1
"507" 11 3 "E" "homogenous" "dispreferred" 1 15
"509" 11 3 "E" "homogenous" "preferred" 0 5
"510" 11 3 "E" "heterogenous" "preferred" 0 21
"511" 11 3 "F" "homogenous" "dispreferred" 0 9
"512" 11 3 "F" "heterogenous" "preferred" 0 14
"514" 11 3 "F" "heterogenous" "dispreferred" 1 19
"516" 11 3 "F" "homogenous" "preferred" 0 8
"518" 11 3 "G" "homogenous" "preferred" 0 31
"519" 11 3 "G" "homogenous" "dispreferred" 0 10
"521" 11 3 "G" "heterogenous" "preferred" 1 25
"522" 11 3 "G" "heterogenous" "dispreferred" 1 16
"523" 11 3 "H" "heterogenous" "dispreferred" 0 18
"526" 11 3 "H" "heterogenous" "preferred" 0 2
"527" 11 3 "H" "homogenous" "dispreferred" 1 4
"528" 11 3 "H" "homogenous" "preferred" 1 23
"529" 12 4 "A" "homogenous" "dispreferred" 0 27
"530" 12 4 "A" "heterogenous" "preferred" 1 9
"532" 12 4 "A" "heterogenous" "dispreferred" 1 11
"534" 12 4 "A" "homogenous" "preferred" 0 22
"535" 12 4 "B" "heterogenous" "dispreferred" 0 13
"536" 12 4 "B" "heterogenous" "preferred" 0 28
"537" 12 4 "B" "homogenous" "dispreferred" 0 21
"538" 12 4 "B" "homogenous" "preferred" 0 29
"541" 12 4 "C" "heterogenous" "dispreferred" 1 4
"542" 12 4 "C" "homogenous" "preferred" 0 18
"545" 12 4 "C" "homogenous" "dispreferred" 0 26
"546" 12 4 "C" "heterogenous" "preferred" 1 3
"547" 12 4 "D" "heterogenous" "preferred" 0 20
"549" 12 4 "D" "homogenous" "dispreferred" 1 16
"551" 12 4 "D" "heterogenous" "dispreferred" 0 5
"552" 12 4 "D" "homogenous" "preferred" 1 30
"554" 12 4 "E" "heterogenous" "preferred" 1 8
"555" 12 4 "E" "homogenous" "preferred" 1 19
"557" 12 4 "E" "homogenous" "dispreferred" 0 24
"558" 12 4 "E" "heterogenous" "dispreferred" 1 12
"559" 12 4 "F" "homogenous" "preferred" 0 7
"560" 12 4 "F" "heterogenous" "dispreferred" 0 10
"562" 12 4 "F" "heterogenous" "preferred" 0 15
"564" 12 4 "F" "homogenous" "dispreferred" 1 1
"566" 12 4 "G" "homogenous" "dispreferred" 0 2
"567" 12 4 "G" "homogenous" "preferred" 0 14
"569" 12 4 "G" "heterogenous" "dispreferred" 1 23
"570" 12 4 "G" "heterogenous" "preferred" 1 6
"571" 12 4 "H" "heterogenous" "preferred" 0 17
"574" 12 4 "H" "heterogenous" "dispreferred" 0 31
"575" 12 4 "H" "homogenous" "preferred" 1 32
"576" 12 4 "H" "homogenous" "dispreferred" 0 25
"577" 13 1 "A" "homogenous" "preferred" 1 20
"578" 13 1 "A" "heterogenous" "preferred" 1 7
"580" 13 1 "A" "heterogenous" "dispreferred" 0 29
"582" 13 1 "A" "homogenous" "dispreferred" 1 13
"583" 13 1 "B" "heterogenous" "dispreferred" 0 27
"584" 13 1 "B" "heterogenous" "preferred" 0 26
"585" 13 1 "B" "homogenous" "dispreferred" 1 12
"586" 13 1 "B" "homogenous" "preferred" 1 11
"589" 13 1 "C" "heterogenous" "dispreferred" 0 32
"590" 13 1 "C" "homogenous" "preferred" 0 17
"593" 13 1 "C" "homogenous" "dispreferred" 0 28
"594" 13 1 "C" "heterogenous" "preferred" 0 30
"595" 13 1 "D" "heterogenous" "preferred" 1 22
"597" 13 1 "D" "homogenous" "dispreferred" 0 6
"599" 13 1 "D" "heterogenous" "dispreferred" 0 24
"600" 13 1 "D" "homogenous" "preferred" 0 3
"602" 13 1 "E" "heterogenous" "preferred" 0 1
"603" 13 1 "E" "homogenous" "preferred" 1 15
"605" 13 1 "E" "homogenous" "dispreferred" 0 5
"606" 13 1 "E" "heterogenous" "dispreferred" 0 21
"607" 13 1 "F" "homogenous" "preferred" 0 9
"608" 13 1 "F" "heterogenous" "dispreferred" 0 14
"610" 13 1 "F" "heterogenous" "preferred" 1 19
"612" 13 1 "F" "homogenous" "dispreferred" 0 8
"614" 13 1 "G" "homogenous" "dispreferred" 1 31
"615" 13 1 "G" "homogenous" "preferred" 1 10
"617" 13 1 "G" "heterogenous" "dispreferred" 1 25
"618" 13 1 "G" "heterogenous" "preferred" 1 16
"619" 13 1 "H" "heterogenous" "preferred" 0 18
"622" 13 1 "H" "heterogenous" "dispreferred" 0 2
"623" 13 1 "H" "homogenous" "preferred" 0 4
"624" 13 1 "H" "homogenous" "dispreferred" 0 23
"625" 14 2 "A" "homogenous" "preferred" 1 27
"626" 14 2 "A" "heterogenous" "dispreferred" 1 9
"628" 14 2 "A" "heterogenous" "preferred" 1 11
"630" 14 2 "A" "homogenous" "dispreferred" 0 22
"631" 14 2 "B" "heterogenous" "preferred" 1 13
"632" 14 2 "B" "heterogenous" "dispreferred" 1 28
"633" 14 2 "B" "homogenous" "preferred" 1 21
"634" 14 2 "B" "homogenous" "dispreferred" 1 29
"637" 14 2 "C" "heterogenous" "preferred" 1 4
"638" 14 2 "C" "homogenous" "dispreferred" 0 18
"641" 14 2 "C" "homogenous" "preferred" 0 26
"642" 14 2 "C" "heterogenous" "dispreferred" 0 3
"643" 14 2 "D" "heterogenous" "dispreferred" 0 20
"645" 14 2 "D" "homogenous" "preferred" 0 16
"647" 14 2 "D" "heterogenous" "preferred" 0 5
"648" 14 2 "D" "homogenous" "dispreferred" 0 30
"650" 14 2 "E" "heterogenous" "dispreferred" 1 8
"651" 14 2 "E" "homogenous" "dispreferred" 1 19
"653" 14 2 "E" "homogenous" "preferred" 1 24
"654" 14 2 "E" "heterogenous" "preferred" 1 12
"655" 14 2 "F" "homogenous" "dispreferred" 1 7
"656" 14 2 "F" "heterogenous" "preferred" 0 10
"658" 14 2 "F" "heterogenous" "dispreferred" 0 15
"660" 14 2 "F" "homogenous" "preferred" 0 1
"662" 14 2 "G" "homogenous" "preferred" 0 2
"663" 14 2 "G" "homogenous" "dispreferred" 0 14
"665" 14 2 "G" "heterogenous" "preferred" 1 23
"666" 14 2 "G" "heterogenous" "dispreferred" 0 6
"667" 14 2 "H" "heterogenous" "dispreferred" 0 17
"670" 14 2 "H" "heterogenous" "preferred" 0 31
"671" 14 2 "H" "homogenous" "dispreferred" 1 32
"672" 14 2 "H" "homogenous" "preferred" 1 25
"673" 15 3 "A" "homogenous" "dispreferred" 1 20
"674" 15 3 "A" "heterogenous" "dispreferred" 0 7
"676" 15 3 "A" "heterogenous" "preferred" 1 29
"678" 15 3 "A" "homogenous" "preferred" 1 13
"679" 15 3 "B" "heterogenous" "preferred" 1 27
"680" 15 3 "B" "heterogenous" "dispreferred" 0 26
"681" 15 3 "B" "homogenous" "preferred" 0 12
"682" 15 3 "B" "homogenous" "dispreferred" 0 11
"685" 15 3 "C" "heterogenous" "preferred" 0 32
"686" 15 3 "C" "homogenous" "dispreferred" 0 17
"689" 15 3 "C" "homogenous" "preferred" 0 28
"690" 15 3 "C" "heterogenous" "dispreferred" 0 30
"691" 15 3 "D" "heterogenous" "dispreferred" 1 22
"693" 15 3 "D" "homogenous" "preferred" 1 6
"695" 15 3 "D" "heterogenous" "preferred" 1 24
"696" 15 3 "D" "homogenous" "dispreferred" 0 3
"698" 15 3 "E" "heterogenous" "dispreferred" 0 1
"699" 15 3 "E" "homogenous" "dispreferred" 1 15
"701" 15 3 "E" "homogenous" "preferred" 0 5
"702" 15 3 "E" "heterogenous" "preferred" 1 21
"703" 15 3 "F" "homogenous" "dispreferred" 0 9
"704" 15 3 "F" "heterogenous" "preferred" 0 14
"706" 15 3 "F" "heterogenous" "dispreferred" 1 19
"708" 15 3 "F" "homogenous" "preferred" 1 8
"710" 15 3 "G" "homogenous" "preferred" 0 31
"711" 15 3 "G" "homogenous" "dispreferred" 0 10
"713" 15 3 "G" "heterogenous" "preferred" 1 25
"714" 15 3 "G" "heterogenous" "dispreferred" 1 16
"715" 15 3 "H" "heterogenous" "dispreferred" 0 18
"718" 15 3 "H" "heterogenous" "preferred" 1 2
"719" 15 3 "H" "homogenous" "dispreferred" 0 4
"720" 15 3 "H" "homogenous" "preferred" 1 23
"721" 16 4 "A" "homogenous" "dispreferred" 0 27
"722" 16 4 "A" "heterogenous" "preferred" 1 9
"724" 16 4 "A" "heterogenous" "dispreferred" 1 11
"726" 16 4 "A" "homogenous" "preferred" 0 22
"727" 16 4 "B" "heterogenous" "dispreferred" 0 13
"728" 16 4 "B" "heterogenous" "preferred" 0 28
"729" 16 4 "B" "homogenous" "dispreferred" 0 21
"730" 16 4 "B" "homogenous" "preferred" 0 29
