Subject	Trial	PrimeCategory	PT	TargBInary	PrimeType
15	36	Dat	0	0	Dispreferred
15	37	AP	0	0	Dispreferred
15	38	SL	0	1	Dispreferred
15	39	Dat	1	0	Preferred
15	40	AP	0	1	Dispreferred
15	41	SL	1	1	Preferred
15	42	Dat	0	0	Dispreferred
15	43	AP	1	0	Preferred
15	44	SL	0	1	Dispreferred
15	45	Dat	0	0	Dispreferred
15	47	SL	1	1	Preferred
15	48	Dat	1	0	Preferred
20	1	AP	1	1	Preferred
20	2	SL	0	1	Dispreferred
20	3	Dat	0	1	Dispreferred
20	4	AP	1	1	Preferred
20	6	Dat	1	1	Preferred
20	7	AP	0	0	Dispreferred
20	9	Dat	0	0	Dispreferred
20	10	AP	0	0	Dispreferred
20	12	Dat	1	1	Preferred
20	13	AP	0	0	Dispreferred
20	14	SL	0	0	Dispreferred
20	15	Dat	0	0	Dispreferred
20	16	AP	1	1	Preferred
20	18	Dat	0	1	Dispreferred
20	19	AP	0	0	Dispreferred
20	20	SL	1	1	Preferred
20	21	Dat	1	1	Preferred
20	22	AP	1	1	Preferred
20	23	SL	0	0	Dispreferred
20	24	Dat	1	0	Preferred
20	25	AP	1	0	Preferred
20	26	SL	1	1	Preferred
20	27	Dat	0	0	Dispreferred
20	28	AP	1	1	Preferred
20	29	SL	0	0	Dispreferred
20	30	Dat	1	0	Preferred
20	31	AP	0	0	Dispreferred
20	32	SL	0	1	Dispreferred
20	33	Dat	1	0	Preferred
20	34	AP	0	0	Dispreferred
20	35	SL	1	1	Preferred
20	36	Dat	0	0	Dispreferred
20	37	AP	0	1	Dispreferred
20	38	SL	0	0	Dispreferred
20	39	Dat	1	0	Preferred
20	40	AP	0	1	Dispreferred
20	41	SL	1	0	Preferred
20	42	Dat	0	0	Dispreferred
20	43	AP	1	0	Preferred
20	44	SL	0	1	Dispreferred
20	45	Dat	0	0	Dispreferred
20	47	SL	1	1	Preferred
20	48	Dat	1	0	Preferred
21	1	AP	0	1	Dispreferred
21	6	Dat	0	0	Dispreferred
21	7	AP	1	1	Preferred
21	13	AP	1	0	Preferred
21	14	SL	1	1	Preferred
21	15	Dat	1	0	Preferred
21	16	AP	0	0	Dispreferred
21	19	AP	1	1	Preferred
21	20	SL	0	1	Dispreferred
21	21	Dat	0	0	Dispreferred
21	22	AP	0	1	Dispreferred
21	23	SL	1	1	Preferred
21	26	SL	0	0	Dispreferred
21	28	AP	0	0	Dispreferred
21	31	AP	1	0	Preferred
21	33	Dat	0	0	Dispreferred
21	34	AP	1	0	Preferred
21	38	SL	1	1	Preferred
21	40	AP	1	0	Preferred
21	41	SL	0	1	Dispreferred
21	43	AP	0	0	Dispreferred
21	44	SL	1	1	Preferred
21	47	SL	0	1	Dispreferred
23	2	SL	1	1	Preferred
23	3	Dat	1	1	Preferred
23	4	AP	0	0	Dispreferred
23	5	SL	1	1	Preferred
23	6	Dat	0	1	Dispreferred
23	7	AP	1	1	Preferred
23	8	SL	0	1	Dispreferred
23	9	Dat	1	1	Preferred
23	10	AP	1	0	Preferred
23	11	SL	0	0	Dispreferred
23	12	Dat	0	1	Dispreferred
23	13	AP	1	1	Preferred
23	14	SL	1	1	Preferred
23	15	Dat	1	1	Preferred
23	16	AP	0	0	Dispreferred
23	17	SL	0	0	Dispreferred
23	18	Dat	1	1	Preferred
23	19	AP	1	1	Preferred
23	21	Dat	0	0	Dispreferred
23	22	AP	0	1	Dispreferred
23	24	Dat	0	0	Dispreferred
23	25	AP	0	0	Dispreferred
23	27	Dat	1	1	Preferred
23	28	AP	0	1	Dispreferred
23	29	SL	1	1	Preferred
23	30	Dat	0	1	Dispreferred
23	31	AP	1	0	Preferred
23	32	SL	1	1	Preferred
23	37	AP	1	1	Preferred
23	38	SL	1	0	Preferred
23	39	Dat	0	0	Dispreferred
23	40	AP	1	1	Preferred
23	41	SL	0	0	Dispreferred
23	42	Dat	1	0	Preferred
23	43	AP	0	0	Dispreferred
23	44	SL	1	1	Preferred
23	45	Dat	1	1	Preferred
23	48	Dat	0	0	Dispreferred
24	1	AP	1	1	Preferred
24	3	Dat	0	0	Dispreferred
24	4	AP	1	0	Preferred
24	6	Dat	1	1	Preferred
24	7	AP	0	1	Dispreferred
24	8	SL	1	1	Preferred
24	10	AP	0	0	Dispreferred
24	11	SL	0	0	Dispreferred
24	12	Dat	1	1	Preferred
24	13	AP	0	1	Dispreferred
24	14	SL	0	1	Dispreferred
24	15	Dat	0	1	Dispreferred
24	16	AP	1	1	Preferred
24	18	Dat	0	1	Dispreferred
24	19	AP	0	0	Dispreferred
24	21	Dat	1	0	Preferred
24	24	Dat	1	0	Preferred
24	25	AP	1	1	Preferred
24	27	Dat	0	0	Dispreferred
24	28	AP	1	1	Preferred
24	31	AP	0	0	Dispreferred
24	32	SL	0	1	Dispreferred
24	33	Dat	1	0	Preferred
24	36	Dat	0	1	Dispreferred
24	37	AP	0	1	Dispreferred
24	38	SL	0	0	Dispreferred
24	39	Dat	1	0	Preferred
24	40	AP	0	1	Dispreferred
24	41	SL	1	1	Preferred
24	42	Dat	0	0	Dispreferred
24	43	AP	1	0	Preferred
24	44	SL	0	1	Dispreferred
24	45	Dat	0	0	Dispreferred
24	47	SL	1	1	Preferred
24	48	Dat	1	0	Preferred
25	1	AP	0	0	Dispreferred
25	3	Dat	1	0	Preferred
25	4	AP	0	1	Dispreferred
25	6	Dat	0	0	Dispreferred
25	10	AP	1	1	Preferred
25	13	AP	1	1	Preferred
25	14	SL	1	1	Preferred
25	16	AP	0	1	Dispreferred
25	19	AP	1	1	Preferred
25	21	Dat	0	0	Dispreferred
25	22	AP	0	1	Dispreferred
25	24	Dat	0	0	Dispreferred
25	28	AP	0	1	Dispreferred
25	30	Dat	0	0	Dispreferred
25	31	AP	1	0	Preferred
25	32	SL	1	1	Preferred
25	33	Dat	0	0	Dispreferred
25	34	AP	1	0	Preferred
25	38	SL	1	0	Preferred
25	39	Dat	0	0	Dispreferred
25	40	AP	1	1	Preferred
25	41	SL	0	0	Dispreferred
25	42	Dat	1	0	Preferred
25	43	AP	0	0	Dispreferred
25	45	Dat	1	1	Preferred
25	47	SL	0	1	Dispreferred
25	48	Dat	0	0	Dispreferred
26	1	AP	1	0	Preferred
26	4	AP	1	1	Preferred
26	6	Dat	1	1	Preferred
26	7	AP	0	1	Dispreferred
26	9	Dat	0	0	Dispreferred
26	10	AP	0	1	Dispreferred
26	11	SL	1	0	Preferred
26	12	Dat	1	1	Preferred
26	14	SL	0	1	Dispreferred
26	15	Dat	0	1	Dispreferred
26	16	AP	1	1	Preferred
26	18	Dat	0	1	Dispreferred
26	20	SL	1	1	Preferred
26	21	Dat	1	1	Preferred
26	27	Dat	0	0	Dispreferred
26	28	AP	1	1	Preferred
26	31	AP	0	0	Dispreferred
26	32	SL	0	1	Dispreferred
26	33	Dat	1	1	Preferred
26	34	AP	0	0	Dispreferred
26	35	SL	1	1	Preferred
26	38	SL	0	1	Dispreferred
26	39	Dat	1	0	Preferred
26	40	AP	0	1	Dispreferred
26	41	SL	1	1	Preferred
26	43	AP	1	0	Preferred
26	45	Dat	0	1	Dispreferred
26	47	SL	1	1	Preferred
26	48	Dat	1	1	Preferred
27	1	AP	0	1	Dispreferred
27	3	Dat	1	0	Preferred
27	4	AP	0	1	Dispreferred
27	6	Dat	0	0	Dispreferred
27	7	AP	1	1	Preferred
27	10	AP	1	1	Preferred
27	12	Dat	0	1	Dispreferred
27	15	Dat	1	0	Preferred
27	17	SL	0	0	Dispreferred
27	18	Dat	1	1	Preferred
27	19	AP	1	1	Preferred
27	21	Dat	0	0	Dispreferred
27	22	AP	0	1	Dispreferred
27	24	Dat	0	0	Dispreferred
27	27	Dat	1	0	Preferred
27	28	AP	0	0	Dispreferred
27	29	SL	1	0	Preferred
27	30	Dat	0	0	Dispreferred
27	31	AP	1	0	Preferred
27	32	SL	1	1	Preferred
27	33	Dat	0	0	Dispreferred
27	34	AP	1	0	Preferred
27	35	SL	0	0	Dispreferred
27	37	AP	1	1	Preferred
27	38	SL	1	0	Preferred
27	39	Dat	0	1	Dispreferred
27	40	AP	1	1	Preferred
27	41	SL	0	0	Dispreferred
27	42	Dat	1	0	Preferred
27	43	AP	0	0	Dispreferred
27	45	Dat	1	1	Preferred
27	47	SL	0	1	Dispreferred
27	48	Dat	0	0	Dispreferred
